"","title","Author","Affiliation","Country","Zone","paper_zone","paper_country","Year","Journal","journals_2","field","bio_monet","main_method","biodiv_objective","partial_general","...16","biodiv_measure","biodiv_direct","biodiv_functional_historical","biodiv_indicator_level","biodiv_indicator_use","biodiv_proxy","...23","species_2","species","biodiv_type","ess_binary","ess_type","ess_measure","paper_empirical","method_static","method_resolution","method_spatial","spatial_ecology","spatial_economy","positive_normative","comments","affiliation_class","FLAG","keywords","keywords2","ecological_model","stoch_ecol","stoch_econ","habitat2","biodiv_type2","id_unique_author","last_names_author"
"11","Valuing Biodiversity from an Economic Perspective: A Unified Economic, Ecological, and Genetic Approach","ANASTASIOS XEPAPADEAS","Department of Economics, University of Cret","Greece","Europe",NA,NA,2003,"American Economic Review","Economics","Economics","Yes","CBA","Objective","General",NA,"Different gene  pools and plant pest interaction","Directly","Functional and genetic","Community","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant",1,"1","1","Theoretical","Dynamic","Closed form","Absent","Absent","Absent","Normative","The term service is pervasive, but is not framed as eco-system service. Nonetheless, the paper is about managing an ecosystem made of plants to maximise the output in terms of human services. + notion of invasive species","Economics (full, applied, agricultural, environmental, ecological)",NA,"Ecosystem","Ecosystem","Population dynamics","No","No","Agriculture","Common",9,"xepapadeas"
"12","THE INSURANCE VALUE OF BIODIVERSITY IN THE PROVISION OF ECOSYSTEM SERVICES","Stefan Baumgärtner","Centre for Sustainability Management University of Lüneburg","Germany","Europe","Europe","Germany",2007,"Natural Resource Modeling","Sustainable science","Sustainable science","Yes","CBA","Objective","Partial",NA,"Index","Directly","Functional","Community","Evolution of services and functions","No",NA,NA,"Multiple","Not specified",1,"1 and 2","2","Theoretical","Static","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Other","No","Yes","Not applicable","Not applicable",10,"baumgärtner"
"13","The value of biodiversity as an insurance device","E. Augereau Véron","Bordeaux","France","Europe","Europe","France",2017,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","General",NA,NA,"Indirectly","Functional","Species","Evolution of services and functions","Habitat",NA,NA,"Multiple","Not specified",1,"1 and 2","3","Theoretical","Dynamic","Closed form","Ecological implicit and economic absent","Implicit","Absent","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","No","Yes","Not applicable","Not applicable",11,"véron"
"14","The value of biodiversity as an insurance device","G. Fabbri","Grenoble","France","Europe","Europe","France",2017,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","General",NA,NA,"Indirectly","Functional","Species","Evolution of services and functions","Habitat",NA,NA,"Multiple","Not specified",1,"1 and 3","3","Theoretical","Dynamic","Closed form","Ecological implicit and economic absent","Implicit","Absent","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","No","Yes","Not applicable","Not applicable",12,"fabbri"
"15","The value of biodiversity as an insurance device","K Schubert","PSE","France","Europe","Europe","France",2017,"American Journal of Agricultural Economics","Economics","Economics","Yes","CBA","Objective","General",NA,NA,"Indirectly","Functional","Species","Evolution of services and functions","Habitat",NA,NA,"Multiple","Not specified",1,"1 and 4","3","Theoretical","Dynamic","Closed form","Ecological implicit and economic absent","Implicit","Absent","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","No","Yes","Not applicable","Not applicable",13,"schubert"
"16","Valuing biodiversity and resilience: an application to pollinator diversity in the Stockholm region","Gustav Engström","The Beijer Institute for Ecological Economics, Royal Swedish Academy of Sciences, Stockholm, Sweden; and Global Environmental
Dynamics and the Biosphere, Royal Swedish Academy of Sciences, Stockholm, Sweden.","Sweden","Europe","Mixed : Asia Europe","Sweden & China",2020,"Spatial Economic Analysis","Economics","Economics","Yes","CBA","Objective","General",NA,"Population","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,NA,"Multiple","Animal - Insecta - Hymenoptera - Bees",1,"1 and 2","2","Theoretical","Dynamic","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative","Resilience","Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","Yes","No","Agriculture","Common",14,"engström"
"17","Valuing biodiversity and resilience: an application to pollinator diversity in the Stockholm region","Asa Gren","The Beijer Institute for Ecological Economics, Royal Swedish Academy of Sciences, Stockholm, Sweden; and The Stockholm Resilience
Center, Stockholm University, Sweden.",NA,NA,"Mixed : Asia Europe","Sweden & China",2020,"Spatial Economic Analysis","Economics","Economics","Yes","CBA","Objective","General",NA,"Population","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,NA,"Multiple","Animal - Insecta - Hymenoptera - Bees",1,"1 and 3","2","Theoretical","Dynamic","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative","Resilience","Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","Yes","No","Agriculture","Common",15,"gren"
"18","Valuing biodiversity and resilience: an application to pollinator diversity in the Stockholm region","Chuan-Zong Li","The Beijer Institute for Ecological Economics, Royal Swedish Academy of Sciences, Stockholm, Sweden; Department of Economics,
Uppsala University, Uppsala, Sweden; and School of Economics, Sichuan University, Chengdu, China","Sweden & China",NA,"Mixed : Asia Europe","Sweden & China",2020,"Spatial Economic Analysis","Economics","Economics","Yes","CBA","Objective","General",NA,"Population","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,NA,"Multiple","Animal - Insecta - Hymenoptera - Bees",1,"1 and 4","2","Theoretical","Dynamic","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative","Resilience","Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","Yes","No","Agriculture","Common",16,"li"
"19","Valuing biodiversity and resilience: an application to pollinator diversity in the Stockholm region","Chandra Kiran B. Krishnamurthy","The Beijer Institute for Ecological Economics, Royal Swedish Academy of Sciences, Stockholm, Sweden; Department of Forest
Economics, Swedish University of Agricultural Sciences, Umeå, Sweden; and Center for Environmental and Resource Economics",NA,NA,"Mixed : Asia Europe","Sweden & China",2020,"Spatial Economic Analysis","Economics","Economics","Yes","CBA","Objective","General",NA,"Population","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,NA,"Multiple","Animal - Insecta - Hymenoptera - Bees",1,"1 and 5","2","Theoretical","Dynamic","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative","Resilience","Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","Yes","No","Agriculture","Common",17,"krishnamurthy"
"20","The economics of extinction revisited and revised","Timothy Swanson","Cambridge Econ and Centre for Social and Economic Research on the Global Environment University College London and University of East Anglia","UK","Europe","Europe","UK",1994,"Oxford Economic Papers","Economics","Economics","Yes","CBA","Objective","Partial",NA,"Diverse biological resource","Directly","Functional","Population","Evolution of structure","No",NA,"Single species","Single","Animal - Mammalia - Proboscidea - Elephants",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",18,"swanson"
"21","Extinction and market forces: two case studies","Scott Farrow","John Heinz III School of Public Policy and Management, Carnegie Mellon University","USA","North America","North America","USA",1995,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"Two species : pigeon and buffalo","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Artiodactyla - buffalo & Animal - Aves - not known - pigeon",0,"0","0","Empirical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive",NA,"Other (Geography, Policy and Management)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",19,"farrow"
"22","Wildlife, biodiversity and trade","Edward Barbier","Environment Department, University of York","UK","Europe","Europe","UK & Norway",1997,"Environment and Development Economics","Economics","Economics","Yes","CBA","Objective","General",NA,"Species","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Multiple species (rhetorical)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic explicit","Absent","Explicit","Normative","2 region economic model, no dispersal","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",20,"barbier"
"23","Wildlife, biodiversity and trade","CARL-ERIK SCHULZ","Department of Economics, NFH, University of Tromsø","Norway","Europe","Europe","UK & Norway",1997,"Environment and Development Economics","Economics","Economics","Yes","CBA","Objective","General",NA,"Species","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Multiple species (rhetorical)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic explicit","Absent","Explicit","Normative","2 region economic model, no dispersal","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",21,"schulz"
"24","Economic efficiency, resource conservation and the ivory trade ban","Erwin H. Bulte","Department of Economics, Tilburg University, Tilburg, The Netherlands & Department of Development Economics, Wageningen Agricultural University, Wageningen, The Netherlands","Netherlands","Europe","Mixed : N-America Europe","Netherlands & Canada",1999,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"1 species : loss of species decreases biodiversity","Directly","Functional","Population","Evolution of structure","No",NA,"Single species","Single","Animal - Mammalia - Proboscidea - Elephants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic implicit","Absent","Implicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","Yes","Wilderness","remarkable_endangered",22,"bulte"
"25","Economic efficiency, resource conservation and the ivory trade ban","G. Cornelis van Kooten","Faculty of Agricultural Sciences, University of British Columbia, Rm. 248 MacMillan Building, 2357 Main Mall, Vancouver BC V6T 1Z4, Canada","Canada","Europe","Mixed : N-America Europe","Netherlands & Canada",1999,"Ecological Economics","Economics","Economics","Yes","CBA","Objective",NA,NA,"1 species : loss of species decreases biodiversity","Directly","Functional","Population","Evolution of structure","No",NA,"Single species","Single","Animal - Mammalia - Proboscidea - Elephants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic implicit","Absent","Implicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","Yes","Wilderness","remarkable_endangered",23,"kooten"
"26","On the Optimal Exploitation of Terrestrial Animal Species","Anders Skonhoft","Department of Economics, Norwegian University of Science and Technology","Norway","Europe","Europe","Norway",1999,"Environmental and Resource Economics","Economics","Economics","Yes","CBA","Objective","General",NA,"1 species : loss of species decreases biodiversity","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - not known - large African Mammalias",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Land issue and non consumptive value, large African Mammalia","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",1,"skonhoft"
"27","Modelling species extinction: the case for non-consumptive values","Robert Alexander","Department of Applied and International Economics, Massey University, Private Bag 11222, Palmerston North, New-Zealand","New-Zealand","Oceania","Oceania","New-Zealand",2000,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"1 species : loss of species decreases biodiversity","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Proboscidea - Elephants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",24,"alexander"
"28","Irreversible ecosystem change, species competition, and shifting cultivation","H.J. Albers","Resources for the Future","USA","North America","North America","USA",2000,"Resource and Energy Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"Woody pioneers and grass","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - woody pioneer & Plant - not know - not known - grass",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Agriculture","Common",25,"albers"
"29","Irreversible ecosystem change, species competition, and shifting cultivation","M.J. Goldbach","Department of Management Science and Engineering, Stanford University","USA","North America",NA,NA,2000,"Resource and Energy Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"Woody pioneers and grass","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant - not known - not known - woody pioneer & Plant - not know - not known - grass",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Agriculture","Common",26,"goldbach"
"30","A note on the economics of biological invasions","Edward Barbier","Department of Economics and Finance, University of Wyoming","USA","North America","North America","USA",2001,"Ecological Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"A prey and predator","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Plant",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Invasive_species_infectious_disease","Population dynamics","No","No","Agriculture","Invasive_species",20,"barbier"
"31","Optimal and Open Access Harvesting of Multi-Use Species in a Second-Best World","Richard D. Horan","Departement of Agricultural Economics, Michigan State University","USA","North America","Mixed : America Europe","USA & Netherlands",2004,"Environmental and Resource Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"1 species : loss of species decreases biodiversity","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Proboscidea - Elephants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Not sure about the limits paradigm, but kind of : extinction of the species or not, dynamics within the system","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",27,"horan"
"32","Optimal and Open Access Harvesting of Multi-Use Species in a Second-Best World","Erwin H. Bulte","Department of Economics and CentER, Tilburg University","Netherlands","Europe",NA,NA,2004,"Environmental and Resource Economics","Economics","Economics","Yes","CBA","Objective","Partial",NA,"1 species : loss of species decreases biodiversity","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Animal - Mammalia - Proboscidea - Elephants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Not sure about the limits paradigm, but kind of : extinction of the species or not, dynamics within the system","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","remarkable_endangered",22,"bulte"
"33","Interaction between economic and ecological dynamics in an optimal economic growth model","Angelo Antoci","Department of Economics, University of Sassari,","Italy","Europe","Europe","Italy",2005,"Non Linear Analysis","Sustainable science","Mathematics","Yes","CBA","Objective","Partial",NA,"Two stock variables","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Can be either extinction or conservation","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",28,"antoci"
"34","Interaction between economic and ecological dynamics in an optimal economic growth model","Simone Borghesi","Department of Quantitative Methods and Economic Theory, University of Chieti-Pescara,","Italy","Europe","Europe","Italy",2005,"Non Linear Analysis","Sustainable science","Mathematics","Yes","CBA","Objective","Partial",NA,"Two stock variables","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Can be either extinction or conservation","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",29,"borghesi"
"35","Interaction between economic and ecological dynamics in an optimal economic growth model","Paolo Russu","Department of Economics, University of Sassari","Italy","Europe","Europe","Italy",2005,"Non Linear Analysis","Sustainable science","Mathematics","Yes","CBA","Objective","Partial",NA,"Two stock variables","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative","Can be either extinction or conservation","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",30,"russu"
"36","Optimal short-term policies for protection of single biological species from local extinction","Erica Cruz-Rivera","Universidad del Valle","Colombia","South America","South America","Colombia",2013,"Ecological Modelling","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,"Single variable","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative","Can be either extinction or conservation","Mathematics","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",6,"cruz-rivera"
"37","Optimal short-term policies for protection of single biological species from local extinction","Olga Vasilieva","Universidad del Valle","Colombia","South America","South America","Colombia",2013,"Ecological Modelling","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,"Single variable","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative","Can be either extinction or conservation","Mathematics","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",7,"vasilieva"
"38","Optimal short-term policies for protection of single biological species from local extinction","Mikhail Svinin","International Education Center, Kyushu University,","Japan","South America","South America","Colombia",2013,"Ecological Modelling","Ecology","Ecology","Yes","CBA","Objective","Partial",NA,"Single variable","Directly","Functional","Population","Evolution of services and functions","No",NA,"Single species","Single","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative","Can be either extinction or conservation","Mathematics","Ok","Extinction","Extinction","Population dynamics","No","No","Not applicable","Not applicable",31,"svinin"
"39","Biodiversity, resilience and the control of ecological economic systems : the case of fire-driven rangelands","Charles Perrings","University of York, York, UK","UK","Europe","Mixed : Europe & Oceania","UK & Australia",1997,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Constraint","Partial",NA,"Biomass","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Mammalia - Artiodactyla - livestock & Plant - not known - not known - grass & Plant - not known - not known - woody plants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive",NA,"Sustainable sciences (environmental science, engineering)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","Common",32,"perrings"
"40","Biodiversity, resilience and the control of ecological economic systems : the case of fire-driven rangelands","Brian Walker","Division of Wildlife and Ecology, CSIRO, Canberra, Australia","Australia","Oceania","Mixed : Europe & Oceania","UK & Australia",1997,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Constraint","Partial",NA,"Biomass","Directly","Functional","Population","Evolution of services and functions","No",NA,"Multiple species (explicit)","Multiple","Animal - Mammalia - Artiodactyla - livestock & Plant - not known - not known - grass & Plant - not known - not known - woody plants",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Positive",NA,"Sustainable sciences (environmental science, engineering)","Ok","Extinction","Extinction","Population dynamics","No","No","Wilderness","Common",33,"walker"
"41","Trade-off between Structural Diversity and Economic Objectives in Forest Management","Hayri Önal","assistant professor in the Department of Agricultural and Consumer Economics at the University of Illinois at UrbanaChampaign","USA","North America","North America","USA",1997,"American Journal of Agricultural Economics","Economics","Economics","Yes","Cost_eff","Constraint","Partial",NA,"species richness","Directly","Genetic","Population","Evolution of structure","No",NA,NA,"Multiple","Forest",0,"0","0","Theoretical","Dynamic","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Forest","Common",34,"önal"
